Canton;Ganglio_N;Ganglio_Tasa;Pulmon_N;Pulmon_Tasa
ABANGARES;1;10,25;4;41,948525029478
ACOSTA;2;19,1078569305459;0;0
AGUIRRE;1;6,25;1;6,25
ALAJUELA;7;4,80356786952433;18;12,3589196738108
ALAJUELITA;6;13,9283760564038;4;9,18
ALFARO RUIZ;2;29,8878230033919;0;0
ALVARADO;1;13,8446628824588;1;13,35
ASERRI;3;9,9670562640158;1;3,31
ATENAS;1;7,17;3;21,9815233651781
BAGACES;1;9,35979034069637;1;8,89
BARVA;3;13,87;2;9,27484336452078
BELEN;0;0;0;0
BUENOS AIRES;3;12,2408877111626;3;12,0604438555813
CAÑAS;2;13,2934529744101;0;0
CARRILLO;4;19,431649694501;3;14,963299389002
CARTAGO;10;12,8199742857878;9;11,4971318367662
CORREDORES;2;8,03;1;4,16788229900388
COTO BRUS;0;0;1;4,59558823529412
CURRIDABAT;11;29,3831106498897;11;28,9605915164094
DESAMPARADOS;15;13,0039435986936;11;9,5459623991291
DOTA;1;25,95;0;0
EL GUARCO;0;0;2;9,11306152705708
ESCAZU;5;15,3174824485406;5;15,2149648970812
ESPARZA;0;0;1;5,76
FLORES;0;0;0;0
GARABITO;2;18,1328953144384;0;0
GOICOECHEA;11;16,8909227064048;7;10,6809227064048
GOLFITO;2;9,03;2;9,03
GRECIA;0;0;4;9,19868591023322
GUACIMO;2;7,87;2;8,35177684052282
GUATUSO;1;11,5446779034865;0;0
HEREDIA;3;4,52132389724274;10;14,8692672806992
HOJANCHA;0;0;1;25,24
JIMENEZ;0;0;0;0
LA CRUZ;0;0;0;0
LA UNION;5;9,52011173717887;3;5,70003724572629
LEON CORTES;1;15,17;1;15,8328055731476
LIBERIA;5;14,571581736289;6;17,451581736289
LIMON;6;12,2693075816725;4;8,18930758167249
LOS CHILES;1;7,17154331612163;1;6,47
MATINA;3;14,3776411543287;2;9,35882057716437
MONTES DE OCA;4;12,702445220705;3;9,94561130517625
MONTES DE ORO;0;0;2;29,9715270493032
MORA;1;6,97;1;6,97
MORAVIA;9;29,2293202559189;6;20,2377022506577
NANDAYURE;0;0;3;52,9472093023256
NARANJO;0;0;2;8,71
NICOYA;1;3,7;3;11,4683283000115
OREAMUNO;6;25,2632837322379;0;0
OROTINA;1;9,29281665272744;1;9,29281665272744
OSA;4;26,6550360114677;1;6,99251800573386
PALMARES;3;15,787423939362;3;15,78
PARAISO;3;10,0408817796895;5;16,6908817796895
PARRITA;0;0;1;11,5647045217995
PEREZ ZELEDON;16;22,6364713794226;2;2,82580892242783
POAS;1;6,31;2;12,8587884741323
POCOCI;6;8,37;5;7,32734232735413
PUNTARENAS;2;3,03;4;6,31261262126597
PURISCAL;4;22,4933159623881;3;16,9933159623881
SAN CARLOS;5;5,47298556654165;5;5,40649278327083
SAN ISIDRO;0;0;0;0
SAN JOSE;37;22,3770123017602;29;17,4870123017602
SAN MATEO;0;0;0;0
SAN PABLO;0;0;1;6,8
SAN RAFAEL;3;11,64;2;7,76
SAN RAMON;5;11,454248719014;4;9,06
SANTA ANA;3;10,7489848441521;1;3,6
SANTA BARBARA;0;0;3;15,3201310736777
SANTA CRUZ;1;3,15;2;6,29
SANTO DOMINGO;1;4,34423736912985;2;8,64
SARAPIQUI;2;5,70454991914715;1;2,99454991914715
SIQUIRRES;1;3,07;3;9,84392040643522
TALAMANCA;0;0;0;0
TARRAZU;0;0;0;0
TIBAS;3;7,37898284580581;3;7,48949142290291
TILARAN;2;19,1590360282044;0;0
TURRIALBA;6;16,3150145031631;2;5,39
TURRUBARES;0;0;1;29,82
UPALA;1;3,92;1;3,92
VALVERDE VEGA;0;0;0;0
Vasques de CORONADO;6;17,9252793197118;5;15,03
